StrideIndex,NormalizedTime,emg_vastusmedialis,emg_vastuslateralis,emg_rectusfemoris,emg_bicepsfemoris,emg_semitendinosus,emg_gracilis,imu_thigh_Accel_X,imu_thigh_Accel_Y,imu_thigh_Accel_Z,imu_thigh_Gyro_X,imu_thigh_Gyro_Y,imu_thigh_Gyro_Z,gon_knee_sagittal,ankle_sagittal
1,85,0.14049039,0.16967083,0.36683931,0.44703357,0.8917399,1.62128151,-0.0049358,-0.4506163,0.27901758,3.57750345,-0.4414234,1.29758472,-30.543906,4.74024581
1,86,0.2157005,0.23498799,0.36503635,0.53170785,1.06579596,1.93000093,-0.099025,-0.380818,0.22891034,3.22422917,-0.4893482,1.36203593,-27.719842,4.5151176
1,87,0.3146658,0.32197555,0.36784442,0.61716852,1.23727434,2.21709897,-0.2375617,-0.3053584,0.17834374,2.81585337,-0.5574389,1.30760565,-24.339752,4.09636249
1,88,0.43920167,0.43362585,0.37990725,0.70083141,1.39943602,2.46514175,-0.4506991,-0.1939507,0.17630017,2.40057342,-0.5935032,1.12106034,-20.491725,3.49831529
1,89,0.58988489,0.5716441,0.40630811,0.7801681,1.54584321,2.65919247,-0.7891317,0.01568794,0.15212369,2.2208661,-0.5172432,1.05016402,-16.328891,2.71620825
1,90,0.76623598,0.7363355,0.45230514,0.85269792,1.67043618,2.78743524,-1.2237268,0.27938123,0.05224217,2.12014815,-0.3295332,1.12413148,-12.047388,1.7745911
1,91,0.96614644,0.92574637,0.52241992,0.91612624,1.76810094,2.84328439,-1.6366678,0.68553373,0.02192044,1.94756907,0.21046577,0.68192465,-7.9131753,0.82560749
1,92,1.18639303,1.13600107,0.62029393,0.96819898,1.83428381,2.82436944,-1.9510367,1.69135707,-0.0805446,1.6304815,0.73264941,0.19133411,-4.2873825,0.09050993
1,93,1.42223667,1.36083042,0.74753754,1.00699682,1.86580444,2.73408039,-1.9837353,2.03967686,-0.3642873,1.38454414,1.13160475,0.88993258,-1.5953958,-0.2635078
1,94,1.66787512,1.59216121,0.90373005,1.0308412,1.86052534,2.57979514,-1.9900448,2.04654473,0.04795203,0.32068982,1.23572585,0.6707104,-0.1528763,-0.2528901
1,95,1.91629804,1.82036989,1.08565424,1.03861521,1.81812518,2.37315031,-2.0006475,2.05808585,0.74069287,1.68327016,1.78918453,-0.3692211,-0.1541553,-0.076052
1,96,2.15940681,2.03496912,1.28739399,1.02972784,1.74001153,2.12855909,-1.6878355,1.89008788,-0.0194379,3.55856754,2.12920644,-0.8247736,-1.6956203,0.14182807
1,97,2.38803839,2.22532588,1.50038739,1.00416145,1.62948507,1.86223036,-1.0209628,1.56176314,-0.6037298,3.4708683,1.52103351,-1.0978481,-4.730722,0.51585537
1,98,2.59225287,2.38160587,1.71391095,0.96247087,1.4916939,1.59072522,-0.598237,1.63177007,-1.1252994,2.1860999,1.13351307,-0.5263981,-9.1057952,1.16569659
1,99,2.76152726,2.49527852,1.91583501,0.9056098,1.33315775,1.32944058,0.41813946,-0.4886554,-1.4405793,1.75272595,0.72361102,-0.4218227,-14.380798,1.81868131
1,100,2.88594068,2.56040838,2.09381103,0.83515925,1.16169873,1.09116916,1.59292259,-2.0406816,-1.5416051,0.82528562,-0.1690266,-2.4157081,-19.552573,1.74506037
2,0,2.83429812,2.6607905,3.40012514,0.41057645,0.70344383,1.97721933,0.93780687,-1.8399085,-0.8085509,-0.6933872,0.52869321,0.53177638,-21.052014,-5.2288885
2,1,2.8566543,2.64303849,3.62364154,0.38020914,0.63498473,1.7408257,-0.930312,0.56315271,-0.4390961,1.00045391,-1.0154433,-3.9128002,-22.293413,-10.888231
2,2,2.80577973,2.57070031,3.7501469,0.35580097,0.58329726,1.52346647,-2.0032491,0.56218309,0.48926336,-0.9853701,-4.3447947,-3.9324183,-21.613206,-14.52903
2,3,2.68312846,2.44663156,3.76613414,0.34385077,0.55215702,1.33147443,-1.686775,-1.9126927,1.27490242,-3.3713754,-4.5981701,1.66227518,-20.109175,-14.429288
2,4,2.49589526,2.27678436,3.66829094,0.35218884,0.54495368,1.16774707,-0.5629772,-1.9457071,0.43807608,1.6896162,0.53816929,1.63122457,-19.597678,-11.787752
2,5,2.25549704,2.06913264,3.46254047,0.38951022,0.56481599,1.03256692,0.12712302,-0.5754739,0.83433266,2.96658495,1.41012543,1.63558851,-21.112021,-8.9923065
2,6,1.97691652,1.83355962,3.16395909,0.46429596,0.61411822,0.9240155,0.52032185,-0.6468984,1.21942143,0.97058363,0.10557956,1.77982281,-24.226393,-7.4447311
2,7,1.67687068,1.58110791,2.79422711,0.58370862,0.6941135,0.83872412,0.29661535,-1.4077696,1.82140658,-1.2560532,-1.1364255,-1.4457182,-27.738886,-7.0629127
2,8,1.37220288,1.32338018,2.37883141,0.75259284,0.80457429,0.77255412,-0.3850973,-1.7070701,0.63158336,-3.1226081,-0.1479063,-3.0972251,-30.535929,-7.0622086
2,9,1.0784281,1.0718819,1.94458832,0.97204948,0.94318277,0.72101584,-0.6360465,-1.8109575,0.0616325,-2.5132983,0.22411622,-3.378775,-32.070174,-6.8208167
2,10,0.80877749,0.83741686,1.51694686,1.23938052,1.10569868,0.6799129,-1.3827865,-1.4610419,0.14745096,-1.6680416,0.05060085,-3.6800451,-32.418046,-6.1852476
2,11,0.57309073,0.62915291,1.11803628,1.54691066,1.28552733,0.64544081,-1.9507551,-0.9326462,0.17322941,-0.2938923,0.18450505,-3.7072706,-31.956201,-5.2849287
2,12,0.37803409,0.45450065,0.76567814,1.88306835,1.47439006,0.61454849,-1.9857234,-0.6508535,0.1944308,1.33836288,0.53254314,-3.1661749,-31.051262,-4.2436255
